text,sura,lemmatized
ثم بعثنٰكم من بعد موتكم لعلكم تشكرون,سورة البقرة,"['ثم', 'بعثنكم', 'من', 'بعد', 'موت', 'لعل', 'شكر']"
وظللنا عليكم الغمام وانزلنا عليكم المن والسلوىٰ كلوا من طيبٰت ما رزقنٰكم وما ظلمونا ولٰكن كانوا انفسهم يظلمون,سورة البقرة,"['ظلل', 'على', 'غمام', 'انزل', 'على', 'المن', 'سلوى', 'أكل', 'من', 'طيب', 'ما', 'رزقنكم', 'ما', 'ظلمونا', 'لكن', 'كان', 'انفس', 'ظلم']"
واذ قلنا ادخلوا هٰذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطٰيٰكم وسنزيد المحسنين,سورة البقرة,"['اذ', 'قال', 'ادخل', 'هذا', 'قرية', 'أكل', 'من', 'حيث', 'شاء', 'رغد', 'ادخل', 'باب', 'ساجد', 'قال', 'حط', 'غفر', 'ل', 'خطي', 'زاد', 'محسن']"
فبدل الذين ظلموا قولا غير الذي قيل لهم فانزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون,سورة البقرة,"['بدل', 'الذي', 'ظلم', 'قول', 'غير', 'الذي', 'قال', 'ل', 'انزل', 'على', 'الذي', 'ظلم', 'رجز', 'من', 'سماء', 'ما', 'كان', 'فسق']"
واذ استسقىٰ موسىٰ لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشرة عينا قد علم كل اناس مشربهم كلوا واشربوا من رزق الله ولا تعثوا في الارض مفسدين,سورة البقرة,"['اذ', 'استسقى', 'موسى', 'قوم', 'قال', 'اضرب', 'عصا', 'حجر', 'انفجر', 'من', 'اثنتا', 'عشر', 'عين', 'قد', 'علم', 'كل', 'اناس', 'مشرب', 'أكل', 'اشرب', 'من', 'رزق', 'الله', 'لا', 'تعث', 'في', 'ارض', 'مفسد']"
يٰايها الذين ءامنوا اتقوا الله وذروا ما بقي من الربوٰا ان كنتم مؤمنين,سورة البقرة,"['ياي', 'الذي', 'ءامن', 'اتقى', 'الله', 'ذر', 'ما', 'بقي', 'من', 'ربوا', 'ان', 'كان', 'مؤمن']"
واذ قلتم يٰموسىٰ لن نصبر علىٰ طعام وٰحد فادع لنا ربك يخرج لنا مما تنبت الارض من بقلها وقثائها وفومها وعدسها وبصلها قال اتستبدلون الذي هو ادنىٰ بالذي هو خير اهبطوا مصرا فان لكم ما سالتم وضربت عليهم الذلة والمسكنة وباءو بغضب من الله ذٰلك بانهم كانوا يكفرون بايٰت الله ويقتلون النبين بغير الحق ذٰلك بما عصوا وكانوا يعتدون,سورة البقرة,"['اذ', 'قال', 'يموسى', 'لن', 'صبر', 'على', 'طعام', 'حد', 'ادع', 'ل', 'رب', 'خرج', 'ل', 'من', 'نبت', 'ارض', 'من', 'بقل', 'قثاء', 'فوم', 'عدس', 'بصل', 'قال', 'اتستبدلون', 'الذي', 'هو', 'ادنى', 'الذي', 'هو', 'خير', 'اهبط', 'مصر', 'فان', 'ل', 'ما', 'سالتم', 'ضرب', 'على', 'ذلة', 'مسكنة', 'باءو', 'غضب', 'من', 'الله', 'ذلك', 'باني', 'كان', 'كفر', 'باي', 'الله', 'قتل', 'بين', 'غير', 'حق', 'ذلك', 'ما', 'عصى', 'كان', 'اعتدى']"
ان الذين ءامنوا والذين هادوا والنصٰرىٰ والصٰبين من ءامن بالله واليوم الاخر وعمل صٰلحا فلهم اجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون,سورة البقرة,"['ان', 'الذي', 'ءامن', 'الذي', 'هاد', 'نصرى', 'صب', 'من', 'ءامن', 'الله', 'يوم', 'اخر', 'عمل', 'صلح', 'ل', 'اجر', 'عند', 'رب', 'لا', 'خوف', 'على', 'لا', 'هم', 'حزن']"
واذ اخذنا ميثٰقكم ورفعنا فوقكم الطور خذوا ما ءاتينٰكم بقوة واذكروا ما فيه لعلكم تتقون,سورة البقرة,"['اذ', 'اخذ', 'ميثقكم', 'رفع', 'فوق', 'طور', 'أخذ', 'ما', 'ءاتينكم', 'قوة', 'اذكر', 'ما', 'في', 'لعل', 'اتقى']"
ثم توليتم من بعد ذٰلك فلولا فضل الله عليكم ورحمته لكنتم من الخٰسرين,سورة البقرة,"['ثم', 'تولى', 'من', 'بعد', 'ذلك', 'لولا', 'فضل', 'الله', 'على', 'رحمة', 'كان', 'من', 'خسر']"
